City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Bagotville,75,AU,1584226915,93,-28.98,153.42,68.0,16.11
Vila Velha,20,BR,1584226915,83,-20.33,-40.29,80.6,4.7
Majene,96,ID,1584226915,81,-3.54,118.97,77.74,3.0
Nur-Sultan,84,KZ,1584226916,86,51.18,71.45,28.4,11.18
Middlebury (village),90,US,1584226916,38,44.02,-73.17,44.6,8.05
Talnakh,75,RU,1584226916,100,69.49,88.4,30.2,17.9
Butaritari,88,KI,1584226916,72,3.07,172.79,83.62,10.76
Hamilton,90,US,1584226669,96,39.18,-84.53,37.4,11.41
Dārāb,80,IR,1584226917,40,28.75,54.54,61.11,1.63
Sal Rei,34,CV,1584226917,78,16.18,-22.92,71.6,13.87
Fuxin,0,CN,1584226917,36,42.02,121.66,25.57,22.3
Bambous Virieux,40,MU,1584226873,88,-20.34,57.76,77.0,13.49
Robe,0,AU,1584226917,51,-37.18,139.75,63.01,10.47
Wamba,53,NG,1584226917,16,8.93,8.6,72.61,5.14
Tegul'det,100,RU,1584226918,94,57.31,88.17,33.62,15.75
Havre-St-Pierre,75,CA,1584226918,63,50.23,-63.6,28.4,13.87
Tual,100,ID,1584226918,77,-5.67,132.75,81.54,9.1
Kavieng,87,PG,1584226918,69,-2.57,150.8,85.08,7.54
Silver City,90,US,1584226918,38,32.77,-108.28,63.0,8.05
Kavaratti,1,IN,1584226915,72,10.57,72.64,81.88,10.38
Pevek,77,RU,1584226919,69,69.7,170.31,-0.67,6.64
Cabo San Lucas,40,MX,1584226919,39,22.89,-109.91,80.6,23.04
Kumul,80,CN,1584226919,33,42.8,93.45,34.11,3.18
Jinhua,0,CN,1584226919,62,29.11,119.65,48.0,2.57
Esperance,40,AU,1584226919,77,-33.87,121.9,66.2,20.8
Adrar,0,MR,1584226920,10,20.5,-10.07,69.66,7.45
Sarraméa,100,NC,1584226920,70,-21.64,165.85,84.2,1.12
Port Macquarie,95,AU,1584226716,82,-31.43,152.92,66.0,6.93
Hong Kong,10,HK,1584226802,55,22.29,114.16,68.0,10.29
Hobyo,24,SO,1584226920,82,5.35,48.53,79.05,11.97
Lianhe,94,CN,1584226920,77,47.13,129.27,19.2,3.6
Fairbanks,90,US,1584226801,67,64.84,-147.72,24.01,3.36
Altamira,100,BR,1584226921,97,-3.2,-52.21,74.8,4.45
Silifke,5,TR,1584226921,73,36.38,33.93,52.74,3.36
Poya,86,NC,1584226921,81,-21.35,165.15,83.71,15.73
Auki,99,SB,1584226904,78,-8.77,160.7,84.11,15.48
Bathsheba,90,BB,1584226921,88,13.22,-59.52,75.2,14.99
Sfântu Gheorghe,100,RO,1584226921,67,45.87,25.78,39.0,7.0
Aquiraz,75,BR,1584226922,94,-3.9,-38.39,82.0,3.36
São Filipe,14,CV,1584226922,56,14.9,-24.5,74.03,16.55
West Bay,20,KY,1584226922,78,19.37,-81.42,82.4,12.75
Ribeira Grande,58,PT,1584226922,84,38.52,-28.7,55.96,7.16
Teknāf,34,BD,1584226922,67,20.86,92.31,65.39,2.59
Pangnirtung,93,CA,1584226922,99,66.15,-65.71,-33.92,1.74
Bilma,8,NE,1584226922,20,18.69,12.92,61.77,4.09
Maniitsoq,87,GL,1584226923,83,65.42,-52.9,1.09,7.81
Champerico,75,GT,1584226923,70,14.3,-91.92,84.2,6.93
Semporna,20,MY,1584226923,94,4.48,118.61,75.2,5.82
Sioux Lookout,90,CA,1584226676,31,50.1,-91.92,23.0,5.82
Udachny,38,RU,1584226701,92,66.42,112.4,17.6,4.47
Fukuechō,90,JP,1584226923,61,32.69,128.84,48.2,17.22
Isfana,0,KG,1584226923,75,39.84,69.53,44.6,6.71
Wukari,0,NG,1584226924,15,7.85,9.78,73.26,4.03
St. George's,75,GD,1584226857,83,12.06,-61.75,78.8,5.82
Boende,16,CD,1584226924,73,-0.22,20.87,74.84,2.13
Oranjemund,4,NA,1584226924,93,-28.55,16.43,61.43,6.67
Nuevo Laredo,1,MX,1584226924,32,27.48,-99.52,95.0,10.29
Nieves,75,PH,1584226924,88,15.33,120.95,75.2,4.7
Tawao,20,MY,1584226924,94,4.25,117.89,75.2,5.82
Hatillo,90,PR,1584226925,85,18.49,-66.83,80.01,18.34
Tamiahua,61,MX,1584226925,90,21.27,-97.45,75.25,11.36
Port Elizabeth,95,ZA,1584226820,82,-33.92,25.57,66.2,11.41
Weilheim,32,DE,1584226925,87,47.83,11.15,39.2,1.12
Iqaluit,20,CA,1584226865,61,63.75,-68.51,-18.0,12.75
Lata,0,PT,1584226926,87,40.16,-8.33,54.0,6.93
Batagay-Alyta,0,RU,1584226926,84,67.8,130.41,-24.0,5.5
Zabaykal'sk,0,RU,1584226926,70,49.63,117.32,3.42,2.64
Mahébourg,40,MU,1584226864,88,-20.41,57.7,77.0,7.54
Shenzhen,10,CN,1584226806,55,22.55,114.07,68.0,10.29
Mossamedes,99,AO,1584226926,76,-15.2,12.15,76.66,5.37
Huejuquilla el Alto,12,MX,1584226926,16,22.6,-103.87,83.57,12.37
Casper,1,US,1584226926,70,42.87,-106.31,46.99,11.41
Diphu,100,IN,1584226927,69,25.83,93.43,65.52,1.41
Palmer,1,US,1584226891,42,42.16,-72.33,48.2,10.29
Boyolangu,84,ID,1584226927,87,-8.12,111.89,77.2,0.18
Margate,75,GB,1584226927,87,51.38,1.39,50.0,20.8
Kurchum,3,KZ,1584226927,68,48.57,83.65,17.6,1.14
Guerrero Negro,0,MX,1584226927,61,27.98,-114.06,65.21,14.61
Chicama,75,PE,1584226928,78,-7.84,-79.15,77.0,8.05
Khovd,0,MN,1584226928,41,48.01,91.64,18.82,7.56
Krasnosel'kup,100,RU,1584226928,96,65.7,82.47,29.62,11.01
Guisijan,57,PH,1584226928,65,11.09,122.05,79.63,2.77
Ishigaki,20,JP,1584226928,58,24.34,124.16,59.0,17.22
Maple Creek,100,CA,1584226928,93,49.92,-109.48,17.87,14.41
Maragogi,94,BR,1584226763,75,-9.01,-35.22,82.72,11.79
Beloha,100,MG,1584226929,88,-25.17,45.05,71.37,9.26
Togur,100,RU,1584226929,97,58.36,82.83,33.8,14.79
Virginia Beach,90,US,1584226818,50,36.85,-75.98,57.99,6.93
Faya,20,SA,1584226930,82,18.39,42.45,60.8,18.34
Ritchie,0,ZA,1584226930,82,-29.04,24.6,64.4,3.36
Savalou,41,BJ,1584226930,63,7.93,1.98,83.14,3.87
Homer,1,US,1584226636,68,59.64,-151.55,33.8,10.29
Port-Gentil,20,GA,1584226931,89,-0.72,8.78,84.2,4.7
Cabedelo,96,BR,1584226931,74,-6.98,-34.83,82.4,9.17
Lakselv,90,NO,1584226931,85,70.05,24.97,21.2,65.54
Taltal,1,CL,1584226931,92,-25.4,-70.48,60.08,1.19
Buala,96,SB,1584226737,76,-8.14,159.59,84.29,10.98
Barra do Garças,42,BR,1584226932,90,-15.89,-52.26,74.34,3.13
Aden,24,YE,1584226776,79,12.78,45.04,74.82,6.04
Kaitangata,100,NZ,1584226932,68,-46.28,169.85,62.01,1.01
Los Corrales de Buelna,0,ES,1584226933,87,43.26,-4.07,48.99,5.28
Klaksvík,100,FO,1584226739,69,62.23,-6.59,35.6,14.99
Upernavik,98,GL,1584226933,98,72.79,-56.15,-14.1,3.6
Angoche,72,MZ,1584226933,97,-16.23,39.91,72.16,4.81
City of San Pedro,20,PH,1584226933,78,14.35,121.02,79.0,3.36
Haines Junction,37,CA,1584226933,78,60.75,-137.51,28.4,3.22
Luanda,100,AO,1584226692,85,-8.84,13.23,81.9,9.37
Minot,90,US,1584226934,49,48.23,-101.3,26.6,16.11
Norman,90,US,1584226934,87,35.22,-97.44,51.8,8.05
Alihe,0,CN,1584226934,76,50.57,123.72,-0.53,4.18
Whitehorse,75,CA,1584226679,41,60.72,-135.05,32.0,1.86
Caucayá,100,CO,1584226875,91,-0.19,-74.78,74.05,1.72
Qandala,34,SO,1584226935,78,11.47,49.87,74.7,4.76
Okhotsk,100,RU,1584226935,83,59.38,143.3,5.45,7.45
Kenai,1,US,1584226831,45,60.55,-151.26,30.99,6.76
Nokaneng,90,BW,1584226935,74,-19.67,22.27,71.58,2.68
Tezu,100,IN,1584226935,76,27.92,96.17,65.26,2.93
Harper,79,LR,1584226935,94,4.38,-7.72,77.31,4.03
Hermanus,63,ZA,1584226936,96,-34.42,19.23,64.99,1.99
Kaffrine,96,SN,1584226936,16,14.11,-15.55,79.05,12.75
Amazar,20,RU,1584226936,84,53.86,120.88,-1.57,2.28
Yerbogachën,100,RU,1584226936,94,61.28,108.01,28.56,11.07
Nanortalik,100,GL,1584226936,73,60.14,-45.24,20.95,2.51
Isabela,20,PH,1584226936,83,6.71,121.97,75.2,5.82
Lima,100,PE,1584226695,69,-12.04,-77.03,78.8,18.34
Mlonggo,20,ID,1584226936,83,-6.53,110.7,78.8,2.24
Erenhot,0,CN,1584226937,59,43.65,111.98,31.8,3.31
Choya,100,RU,1584226937,62,52.01,86.55,35.76,6.49
Dhidhdhoo,69,MV,1584226937,75,6.88,73.1,83.7,8.25
Prokhorovka,75,RU,1584226937,67,51.04,36.73,32.0,20.13
São João da Barra,68,BR,1584226937,88,-21.64,-41.05,78.8,4.7
Lucapa,77,AO,1584226937,91,-8.42,20.74,67.05,1.36
Skibbereen,75,IE,1584226938,87,51.55,-9.27,44.6,13.87
Puksoozero,95,RU,1584226938,92,62.59,40.61,18.37,8.79
Raudeberg,88,NO,1584226938,82,61.99,5.14,39.99,21.92
Itoman,40,JP,1584226938,51,26.12,127.67,59.0,23.04
Yamada,39,JP,1584226938,50,39.47,141.95,39.94,4.38
Marzuq,42,YE,1584226938,62,14.4,46.47,64.51,5.32
Malpe,22,IN,1584226939,78,13.35,74.72,77.0,4.7
Ialibu,90,PG,1584226939,100,-6.28,143.99,62.6,2.28
Pochutla,40,MX,1584226939,55,15.74,-96.47,88.0,10.29
Kampong Thom,100,KH,1584226939,72,12.71,104.89,75.31,4.76
Ozinki,93,RU,1584226939,89,51.18,49.68,34.56,11.9
Kirakira,98,SB,1584226940,80,-10.45,161.92,82.27,12.55
Saldanha,0,ZA,1584226776,88,-33.01,17.94,64.4,13.87
Tongren,74,CN,1584226940,69,27.72,109.19,52.39,1.61
Saint George,1,US,1584226811,45,37.1,-113.58,64.4,19.46
Mount Isa,39,AU,1584226940,41,-20.73,139.5,78.8,9.17
Plettenberg Bay,49,ZA,1584226940,82,-34.05,23.37,65.86,5.5
Hangu,0,CN,1584226941,21,39.25,117.79,50.0,4.47
Stykkisholmur,0,IS,1584226941,73,65.08,-22.73,19.81,3.89
Kahului,40,US,1584226675,74,20.89,-156.47,80.6,12.75
Yumen,100,CN,1584226941,29,40.28,97.2,33.91,13.35
Kapit,100,MY,1584226942,99,2.02,112.93,74.07,1.88
Yellowknife,75,CA,1584226700,51,62.46,-114.35,10.4,11.41
Derzhavīnsk,100,KZ,1584226942,96,51.1,66.32,34.2,14.99
Nara,20,JP,1584226865,61,34.69,135.8,46.4,12.75
Egvekinot,44,RU,1584226942,76,66.32,-179.17,8.85,4.63
Naze,75,JP,1584226716,50,28.37,129.48,59.0,11.41
Ouango,93,CF,1584226942,52,4.31,22.56,80.31,0.69
Seminole,40,US,1584226942,51,28.71,-81.21,86.0,6.93
Faisalabad,0,PK,1584226943,69,31.42,73.08,54.95,3.65
San Patricio,40,MX,1584226943,79,19.22,-104.7,84.2,9.17
Firminópolis,64,BR,1584226943,92,-16.58,-50.3,71.96,1.21
Aného,20,TG,1584226943,88,6.23,1.6,82.4,8.05
George Town,20,MY,1584226762,83,5.41,100.34,82.4,3.36
The Valley,20,AI,1584226943,73,18.22,-63.06,80.01,4.7
Løding,75,NO,1584226944,69,67.3,14.75,37.4,33.33
Meadow Lake,40,US,1584226945,26,34.8,-106.54,63.0,9.17
Sur,100,OM,1584226945,35,22.57,59.53,66.69,6.69
Kuytun,92,RU,1584226872,95,54.34,101.5,25.16,3.2
Garissa,88,KE,1584226945,68,-0.45,39.64,81.57,11.72
Kudahuvadhoo,78,MV,1584226945,65,2.67,72.89,83.89,7.47
Arrondissement de Saint-Gaudens,10,FR,1584226945,93,43.08,0.67,44.01,3.53
Da Lat,94,VN,1584226946,81,11.95,108.44,60.73,3.96
Hohhot,0,CN,1584226946,67,40.81,111.65,23.0,2.24
Puerto Limón,44,CR,1584226810,65,10.0,-83.03,82.99,8.05
Anadyr,40,RU,1584226947,85,64.75,177.48,21.2,33.55
Christchurch,92,NZ,1584226756,72,-43.53,172.63,64.99,10.29
Tilichiki,100,RU,1584226947,79,60.47,166.1,28.56,11.63
Naraina,0,IN,1584226947,51,26.78,75.2,60.8,4.05
Mastic Beach,1,US,1584226947,39,40.77,-72.85,52.0,6.93
Nome,90,US,1584226805,100,64.5,-165.41,30.2,10.29
Gold Coast,90,AU,1584226724,68,-28.0,153.43,77.0,13.87
Mackay,50,AU,1584226803,73,-21.15,149.2,79.0,10.29
Bonthe,78,SL,1584226948,86,7.53,-12.51,80.47,6.44
Langenhagen,10,DE,1584226948,71,52.45,9.75,42.01,6.93
Chardara,0,KZ,1584226948,50,41.25,67.97,53.44,7.29
Mahibadhoo,4,MV,1584226948,71,3.78,72.97,83.37,6.26
Münsingen,40,DE,1584226804,86,48.41,9.5,41.0,3.36
Iberia,1,US,1584226949,83,29.95,-91.75,79.0,9.17
Guánica,90,PR,1584226949,80,17.97,-66.91,81.0,18.34
Talavera,75,PH,1584226949,88,15.62,120.93,75.2,4.7
Yerbabuena,75,MX,1584226950,22,20.97,-101.27,86.0,9.17
Storsteinnes,90,NO,1584226950,92,69.24,19.23,33.8,26.4
Yarim,2,YE,1584226950,63,14.3,44.38,57.65,3.56
Turochak,100,RU,1584226950,79,52.26,87.12,31.77,4.65
Shimoda,31,JP,1584226950,93,34.67,138.95,43.0,3.36
Hvolsvollur,75,IS,1584226950,67,63.75,-20.22,26.15,12.62
Moree,17,AU,1584226951,56,-29.47,149.85,68.0,14.99
Hoogstraten,75,BE,1584226951,87,51.4,4.76,48.2,6.93
Kupang,20,ID,1584226951,100,-10.17,123.58,78.8,2.24
Lloydminster,90,CA,1584226951,77,53.28,-110.0,3.2,14.99
Mar del Plata,40,AR,1584226741,72,-38.0,-57.56,66.99,6.93
Cidreira,0,BR,1584226952,86,-30.18,-50.21,76.21,24.52
Bengkulu,81,ID,1584226952,88,-3.8,102.27,75.18,3.09
Kralendijk,40,BQ,1584226952,65,12.15,-68.27,82.4,10.29
Matara,21,LK,1584226952,91,5.95,80.54,71.98,5.5
La Ronge,75,CA,1584226953,55,55.1,-105.28,6.8,3.36
Jardim,27,BR,1584226953,56,-21.48,-56.14,78.76,5.75
Port Augusta,6,AU,1584226953,67,-32.5,137.77,60.8,11.41
Antalaha,100,MG,1584226953,92,-14.9,50.28,78.91,49.5
Ambilobe,100,MG,1584226953,85,-13.2,49.05,80.08,13.09
Lamar,90,US,1584226953,93,33.67,-95.58,57.2,6.93
Camaná,81,PE,1584226953,82,-16.62,-72.71,67.75,6.15
Ribas do Rio Pardo,44,BR,1584226954,69,-20.44,-53.76,76.05,6.08
Balakhta,100,RU,1584226954,79,55.38,91.6,32.16,14.45
Kyra,63,RU,1584226954,93,49.58,111.98,17.78,2.26
Nhulunbuy,54,AU,1584226954,88,-12.23,136.77,80.6,5.82
Nichinan,20,JP,1584226954,52,31.6,131.37,46.4,5.82
Abéché,22,TD,1584226955,16,13.83,20.83,70.47,15.23
Keti Bandar,100,PK,1584226955,52,24.14,67.45,68.74,10.04
Avera,90,US,1584226898,50,33.19,-82.53,81.0,3.36
Broome,40,US,1584226955,69,42.25,-75.83,42.01,3.36
Bendigo,0,AU,1584226955,65,-36.77,144.28,59.0,8.99
Pinyug,90,RU,1584226956,93,60.25,47.78,17.22,3.83
Novy Urengoy,94,RU,1584226956,93,66.08,76.63,10.47,16.17
Samut Songkhram,74,TH,1584226956,78,13.41,100.0,80.1,4.14
Saint-Paul,90,RE,1584226956,83,-21.01,55.27,77.0,10.29
Cururupu,97,BR,1584226956,98,-1.83,-44.87,74.97,1.63
Inhambane,0,MZ,1584226956,82,-23.86,35.38,77.63,6.55
Emerald,0,AU,1584226957,60,-23.53,148.17,77.0,8.05
Río Gallegos,100,AR,1584226934,48,-51.62,-69.22,62.6,13.87
Cascais,0,PT,1584226804,62,38.7,-9.42,59.0,13.87
Kuusamo,29,FI,1584226928,76,65.97,29.18,-11.2,1.12
Chegem,75,RU,1584226957,93,43.28,43.13,50.0,4.47
Borogontsy,98,RU,1584226957,97,62.67,131.17,-10.07,3.4
Severodvinsk,62,RU,1584226957,85,64.56,39.83,19.4,4.47
Narsaq,100,GL,1584226958,67,60.92,-46.05,21.2,2.24
Hasaki,20,JP,1584226958,80,35.73,140.83,39.2,6.93
Raipur,33,IN,1584226958,74,21.23,81.63,71.71,4.85
Aykhal,77,RU,1584226958,92,66.0,111.5,17.6,4.47
Dul'durga,82,RU,1584226958,95,50.68,113.59,16.02,1.41
Grand Bank,75,CA,1584226958,89,47.1,-55.77,33.8,19.46
Dombarovskiy,100,RU,1584226959,97,50.76,59.54,36.23,16.78
Huarmey,97,PE,1584226720,70,-10.07,-78.15,73.99,3.85
Muros,90,ES,1584226959,100,42.78,-9.06,52.0,1.12
Gimli,77,CA,1584226959,68,50.63,-96.99,19.0,5.01
Vilcún,0,CL,1584226929,52,-38.65,-72.23,68.0,12.75
Alyangula,57,AU,1584226960,100,-13.85,136.42,77.0,5.17
Quetta,65,PK,1584226960,45,30.2,67.01,43.05,2.04
Zhangye,84,CN,1584226960,30,38.93,100.45,34.7,9.1
Namatanai,100,PG,1584226960,75,-3.67,152.43,83.17,10.96
Simao,3,CN,1584226961,46,22.79,100.97,61.23,2.3
Tooele,40,US,1584226851,53,40.53,-112.3,59.0,39.15
